id,name,excerpt,description,length,warning
0,Аббатство Виллерс,Lorem ipsum 1,"<p>Аббатство Виллерс известно с  11 в., здесь жили молчаливые и строгие монахи-цистерцианцы. Даже в наши дни величие аббатских стен поражает и заставляет содрогнуться. Семь веков эта местность была оплотом строгости и умеренности. Однако в 19 в. аббатство опустело. Увы, но сюда приезжали теперь только романтики, архитекторы и искатели новых ощущений.</p> <p>Виктор Гюго, оставивший в Бельгии заметный след, в середине 19 в. не только заехал в это «интересное местечко», но и оставил графити на стенах аббатства, его примеру последовали другие, и вечное «здесь был Вася» , сохранённое в аббатстве, датируется аж 1861 г.</p> <p> В тёплое время года на территории аббатства благоухают несколько сотен сортов роз, а по выходным вечерами проходят концерты под звёздным небом.</p>",2,
1,Брюгге,Lorem ipsum 2,"Город-сказка, в котором сохранились средневековые улицы и дома в их изначальном виде. Город каналов, который часто называют Северной Венецией. Город-легенда, самое богатое купеческое сообщество на Северном море в 14-15 в.в. И, конечно, город-Феникс, после роскоши впавший в забвение, и сумевший возродиться вновь. Город, где с 2020 г. официально ограничат поток туристов.
Пять самых популярных мест:
Бург и Базилика Святого Василия
Гроте маркт
Памятник Симону Стевину и собор Святого Сальватора
Озеро Любви
Валплейн",4,
2,Гент,Lorem ipsum 3,"Город-сказка, в котором сохранились средневековые улицы и дома в их изначальном виде. Город каналов, который часто называют Северной Венецией. Город-легенда, самое богатое купеческое сообщество на Северном море в 14-15 в.в. И, конечно, город-Феникс, после роскоши впавший в забвение, и сумевший возродиться вновь. Город, где с 2020 г. официально ограничат поток туристов.",3,
3,Левен,Lorem ipsum 4,"Левен - студенческий городок в 30 км от Брюсселя. Место, куда хочется приехать и начать учиться, место, где чувствуешь себя юным и беззаботным. Мы увидим одну из самых красивых ратуш Европы, будто не каменная она, а кружевная. Услышим, как ударит в колокол золотой жакмар над входом в собор Святого Петра. Башня собора официально признана белфортом, вот только самой башни никогда и не было...
Библиотека Левенского университета, старейшего на Нижних землях, знаменита на весь мир, и это не преувеличение. История ее существования захватывает с первых минут. И конечно, обязательно, непременно надо зайти в бегинаж, самый большой и самый необычный во всей Бельгии.
Левен - это город, в честь которого англичане называли своих детей, австралийцы, индусы, американцы, - весь мир - собирали для него деньги, а поэты Серебряного века в России писали о городе  стихи и эссе.
Это город, в который хочется возвращаться. Город, где живут молодость и успех.",4,
4,Дамме,Lorem ipsum 5,"Город-спутник Брюгге. Тихий, пасторальный городок, воспетый бельгийским писателем Шарлем де Костером как родина знаменитого фламандского национального героя Тиля Уленшпигеля. Если хочется душевного покоя и неторопливости, то Дамме именно такой.
Идеален для велопрогулок из Брюгге
Пять самых популярных мест:
Ратуша
Колокольня и собор Богоматери в Дамме
Ручная переправа-паром для пешеходов и велосипедистов Кобус
Действующая мельница (предварительный заказ посещения обязателен)
Колесный пароход «Ламме Гудзак»",3,
5,Брюссель ,Lorem ipsum 6,"Столица Бельгии менялась, как правило, кварталами - там переделают, тут подновят, здесь построят. Любая прогулка по Брюсселю - поистине прыжки во времени. В Брюсселе соседствуют готика и барокко, Ренессанс и классицизм, ар-нуво и ар-деко, универсальный и неостили...
Брюссель славен именно своей эклектикой, которая уже давно признана его собственным стилем.
Пять самых популярных мест:
Гран Пляс и Гора искусств
Собор Святого Михаила и Святой Гудулы
Писающий мальчик и музей его костюмов
Большой и Малый Саблоны
Дома в стиле во-нуво",2,
6,Антверпен,Lorem ipsum 7,"Больше всего легенд и сказок фламандцы сложили именно об Антверпене. Дух реки Шельды, храбрый солдат Брабо, счастливый кузнец... История Антверпена просто не мыслима без фольклора. Однако реальные события в городе не уступают сложившимся  сказаниям по накалу страстей.
Это город, в котором творил Рубенс,  художнику посвящён первый установленный именно фламандцу памятник. Из Антверпена гигантский пароход «Красная линия» увозил многоликую толпу в Америку, к новой жизни. Здесь старейший зоопарк Европы. Даже железнодорожный вокзал Антверпена - произведение архитектурного и инженерного искусства.
Пять самых популярных мест:
Дом Рубенса
Железнодорожный вокзал
Гран Пляс
Замок Стен на берегу и Дом мясников
Собор Антверпеновской Богоматери с четырьмя картинами Рубенса и Колодец счастливого кузнеца",2,
7,Хугарден,Lorem ipsum 8,"провинциальный тихий городок с необычной по составу водой, на которой делают знаменитое пиво. Помимо завода Хугарден, в городе несколько частных пивоварен. Если хотите попробовать нефильтрованный или розовый Хугарден, крафтовые сорта местного пива, то экскурсия Хугардена» вам как нельзя лучше подходит. ",3,экскурсия возможна только с заказанным на обратный путь автотранспортом.
,,,,,
,,,,,